"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"19",3875.82557541871,1.38234535777819,0.160933826842267,5.77875656017511e-19,1.98301426180657e-16
"51513",285.215217012182,2.55026755857333,0.299855236737766,5.81095864937854e-19,1.98301426180657e-16
"3601",269.211619798036,0.802800189321918,0.0928686889481998,8.92827280468976e-19,2.98145221773611e-16
"113130",42.5115527979947,1.82558099972618,0.214697360917653,9.03290877530061e-19,2.98145221773611e-16
"5608",1579.13453122447,1.59716003779948,0.188062449099689,1.03220358870147e-18,3.35199791208312e-16
"1241",858.741763125417,1.12668354801081,0.132199959360577,1.38310954900869e-18,4.3657482151269e-16
"9319",30.4828617128854,1.82482921432988,0.215962040377101,1.38774156038602e-18,4.3657482151269e-16
"83938",157.72498525512,0.946244955147984,0.111161992004012,2.19564939973588e-18,6.80110846373573e-16
"8355",295.79439774664,1.92217967729673,0.23036033247456,2.71454690161694e-18,8.22374078261223e-16
"8460",591.76650319092,2.16923476596858,0.26033640909173,2.73661782276259e-18,8.22374078261223e-16
"8343",441.798583485078,1.22317071216531,0.145244339933239,2.8493830559985e-18,8.43668800727555e-16
"11199",21.4779110602065,2.58542231623441,0.308856049504089,2.89662656310749e-18,8.45227235095741e-16
"8339",268.219034884932,1.36298807917978,0.162596314221107,3.21796445201793e-18,9.25578518241842e-16
"375686",33.2189445708711,3.06516147799159,0.37141016527842,3.52074513379496e-18,9.98403979208842e-16
"8968",129.911332776617,1.5771508823319,0.189116476243992,3.7580902198457e-18,1.05090817342185e-15
"8348",145.142495712357,1.57747112221522,0.189313922061779,4.01908652805045e-18,1.10849709802422e-15
"1975",3670.24285865452,-0.745067612039828,0.0876406901443215,4.53917736777927e-18,1.23502428544416e-15
"283131",31858.0921400156,1.45207405443173,0.170147428803851,5.0196163290285e-18,1.34753273558213e-15
"205",26.9576698030568,1.65234591539855,0.197938472335897,5.1160725414821e-18,1.35535532302895e-15
"22974",163.167482980856,1.21651683117174,0.145838142411894,5.22996591315657e-18,1.36753420383759e-15
"2820",784.6047400039,0.987776217121073,0.11820247562232,7.21136981468693e-18,1.86145794678086e-15
"8332",275.496914297898,1.45617455908979,0.176268786193664,7.90764460422014e-18,2.01534830963757e-15
"3240",288.277558289261,2.50109945301936,0.305835530032535,8.61751675415366e-18,2.16881352910162e-15
"773",339.812444909933,1.38857841918035,0.168042701466425,8.91637255084321e-18,2.18929566998387e-15
"27334",404.910248263029,-1.16434820905747,0.13920914354231,8.89732287509593e-18,2.18929566998387e-15
"8638",1342.32409450829,2.1739654511708,0.266719900935125,1.25014639905655e-17,3.03258404802464e-15
"8349",1403.48224921976,1.35666099575695,0.165187128827033,1.44087647642939e-17,3.45364368767017e-15
"116447",189.709497502947,-1.05661337918912,0.127044299286622,1.48710842665138e-17,3.52252247790574e-15
"23508",303.43908570107,-1.27299182275444,0.15358899085185,1.55279095487668e-17,3.59355092936632e-15
"220042",107.81397862675,0.907568829564663,0.109610240911973,1.54186661133395e-17,3.59355092936632e-15
"118932",209.36734531923,2.37402265588517,0.293061440293489,1.6294416322756e-17,3.72808838911783e-15
"4061",4954.95091148151,2.30220886456721,0.27964597697346,1.74730373872239e-17,3.95283297476815e-15
"2048",148.390324882888,1.64783387241462,0.201765997829931,1.87200765409348e-17,4.18788912305758e-15
"8294",221.595824227241,1.06103215101178,0.129047690203698,1.91457238826562e-17,4.23604400718022e-15
"90249",267.974007617342,1.52775040178326,0.187604777364151,2.00829712059979e-17,4.39511458979958e-15
"8329",188.905222319226,1.39100379175824,0.170764864059769,2.21762165684295e-17,4.80103166009418e-15
"11130",54.9738301126975,1.45587873614932,0.179364445900747,2.68961804665738e-17,5.76093295227657e-15
"719",507.209315905786,1.74979798552958,0.216527560536193,2.85957864480801e-17,6.06050067732258e-15
"57463",197.358478216429,-1.11167620536959,0.13515090504242,3.01455222154951e-17,6.32239525298728e-15
"8331",333.483824427593,1.77407811127755,0.220567169423013,3.69056812251694e-17,7.66040191533568e-15
"51237",274.895797543322,2.04823598889486,0.255254754037975,3.85249512527252e-17,7.91491192369765e-15
"7153",289.760605442275,1.17040560605445,0.144453228896137,4.27532882760117e-17,8.6948960217093e-15
"4605",270.759105374086,1.4854447523059,0.184782885986745,5.05444391379004e-17,1.01766173760249e-14
"116071",322.846989413473,2.26519172572956,0.284292425745915,5.63450710783222e-17,1.12321946642667e-14
"3148",4216.84421730527,1.39294400815101,0.173218793380791,6.22382567101494e-17,1.22853437313936e-14
"5737",39.5785204872628,2.32446582463224,0.291637202554765,6.31459082915149e-17,1.23434924033142e-14
"6604",563.377528829287,1.2221350938139,0.151783442178869,6.45140816004735e-17,1.24896780667686e-14
"3242",59.6005176190402,1.28968558400207,0.16031056722794,6.61581648823559e-17,1.26859856356319e-14
"3017",896.207003024711,1.24675608038144,0.155402484074021,7.6105211500411e-17,1.44556823429177e-14
"10561",4228.21839089227,2.68555086956721,0.340769784308978,8.52941915295191e-17,1.6049656563134e-14
"6382",40.0861358063744,3.1124107323776,0.397755136546613,8.67478796731482e-17,1.61720537901775e-14
"64108",355.591129155086,2.28666611331792,0.289442258107135,8.76618676931382e-17,1.61925141663637e-14
"285848",136.567923491199,1.48007070649396,0.186073131933626,9.60476129227856e-17,1.75802058053397e-14
"23639",347.017119793413,1.36417261802736,0.171107047668952,1.0358450306502e-16,1.87889223847849e-14
"26270",254.824545640305,1.51813156667855,0.191297831293584,1.11713866998732e-16,2.00825624835041e-14
"8358",408.382975976209,1.73566548732207,0.219432272865693,1.14002140739294e-16,2.03125584216368e-14
"9447",613.002107721061,1.79748819516595,0.227154374985802,1.29267853006881e-16,2.28305171266715e-14
"114769",934.231625032285,1.22352400533511,0.153687625141011,1.31982293494971e-16,2.3107230410676e-14
"3417",536.41216924965,0.686409369959081,0.0850371523857525,1.52146458644165e-16,2.64079034339795e-14
"7097",5219.43756400869,1.12935138549996,0.141953885426612,1.5630639406899e-16,2.68980593007269e-14
"10964",10957.3102088357,3.17471290711711,0.399506799187418,1.61519752273605e-16,2.75596499345489e-14
